MonthEnd,monthly_return,portfolio_value,n_start_positions,n_active_positions,n_carried_missing,n_terminal_zero,FiscalYear,RebalanceDate,Strategy
2019-04-30,0.02224490579902172,1.0222449057990215,15,15,0,0,2018,2019-03-31,gap_top_5pct
2019-05-31,-0.08710906612788205,0.933198106700884,15,15,0,0,2018,2019-03-31,gap_top_5pct
2019-06-30,0.06282440385867849,0.9918257214364146,15,15,0,0,2018,2019-03-31,gap_top_5pct
2019-07-31,0.04673616094743549,1.038179847985273,15,15,0,0,2018,2019-03-31,gap_top_5pct
2019-08-31,-0.003741597229220295,1.034295397142619,15,15,0,0,2018,2019-03-31,gap_top_5pct
2019-09-30,0.010040410893447316,1.0446801479151322,15,15,0,0,2018,2019-03-31,gap_top_5pct
2019-10-31,0.039117124220516164,1.0855450310318355,15,15,0,0,2018,2019-03-31,gap_top_5pct
2019-11-30,0.004700820401485117,1.0906479832604408,15,15,0,0,2018,2019-03-31,gap_top_5pct
2019-12-31,0.03466833537847003,1.1284589333239656,15,15,0,0,2018,2019-03-31,gap_top_5pct
2020-01-31,0.019470466654780916,1.1504305553565395,15,15,0,0,2018,2019-03-31,gap_top_5pct
2020-02-29,-0.052330974465016555,1.0902274033404016,15,15,0,0,2018,2019-03-31,gap_top_5pct
2020-03-31,-0.14542944463139473,0.9316762375506794,15,15,0,0,2018,2019-03-31,gap_top_5pct
2019-04-30,0.03145885378270652,1.0314588537827063,30,30,0,0,2018,2019-03-31,gap_top_10pct
2019-05-31,-0.09727280620572876,0.931125956589518,30,30,0,0,2018,2019-03-31,gap_top_10pct
2019-06-30,0.08193661318183287,1.0074192639181574,30,30,0,0,2018,2019-03-31,gap_top_10pct
2019-07-31,0.029747874833523813,1.0373878460860755,30,30,0,0,2018,2019-03-31,gap_top_10pct
2019-08-31,-0.02510445746918144,1.0113447870249619,30,30,0,0,2018,2019-03-31,gap_top_10pct
2019-09-30,0.02175056063368741,1.033342103136712,30,30,0,0,2018,2019-03-31,gap_top_10pct
2019-10-31,0.02917760934200797,1.063492555338684,30,30,0,0,2018,2019-03-31,gap_top_10pct
2019-11-30,0.003543500558173207,1.0672610418021398,30,30,0,0,2018,2019-03-31,gap_top_10pct
2019-12-31,0.03745761785377422,1.1072380980561853,30,30,0,0,2018,2019-03-31,gap_top_10pct
2020-01-31,0.002390593560534615,1.1098850543233771,30,30,0,0,2018,2019-03-31,gap_top_10pct
2020-02-29,-0.07523778669950598,1.0263797593452253,30,30,0,0,2018,2019-03-31,gap_top_10pct
2020-03-31,-0.16348989205858566,0.8585770432787573,30,30,0,0,2018,2019-03-31,gap_top_10pct
2019-04-30,0.044026571140672655,1.0440265711406733,61,61,0,0,2018,2019-03-31,gap_top_20pct
2019-05-31,-0.09122585270421102,0.9487843569425117,61,61,0,0,2018,2019-03-31,gap_top_20pct
2019-06-30,0.07352108386331668,1.0185400112174852,61,61,0,0,2018,2019-03-31,gap_top_20pct
2019-07-31,0.011780360493733655,1.0305387797269188,61,61,0,0,2018,2019-03-31,gap_top_20pct
2019-08-31,-0.035261702806344664,0.9942002275457751,61,61,0,0,2018,2019-03-31,gap_top_20pct
2019-09-30,0.032777063230250425,1.0267871912675723,61,61,0,0,2018,2019-03-31,gap_top_20pct
2019-10-31,0.02609344543592762,1.053579606817222,61,61,0,0,2018,2019-03-31,gap_top_20pct
2019-11-30,0.02248701056317426,1.0772714625648658,61,61,0,0,2018,2019-03-31,gap_top_20pct
2019-12-31,0.02972737250347901,1.1092959126198993,61,61,0,0,2018,2019-03-31,gap_top_20pct
2020-01-31,-0.006429215450718728,1.1021640101990644,61,61,0,0,2018,2019-03-31,gap_top_20pct
2020-02-29,-0.09382565041127044,0.998752755082243,61,61,0,0,2018,2019-03-31,gap_top_20pct
2020-03-31,-0.18651353289837225,0.8124718502398712,61,61,0,0,2018,2019-03-31,gap_top_20pct
2019-04-30,0.03571019095283545,1.0357101909528372,92,92,0,0,2018,2019-03-31,gap_top_30pct
2019-05-31,-0.08789339896479997,0.9446781019275103,92,92,0,0,2018,2019-03-31,gap_top_30pct
2019-06-30,0.08236868717316326,1.0224899969845151,92,92,0,0,2018,2019-03-31,gap_top_30pct
2019-07-31,0.007990427465664363,1.0306601291397872,92,92,0,0,2018,2019-03-31,gap_top_30pct
2019-08-31,-0.03915332428343676,0.9903063588775683,92,92,0,0,2018,2019-03-31,gap_top_30pct
2019-09-30,0.03699854002921277,1.026946248337684,92,92,0,0,2018,2019-03-31,gap_top_30pct
2019-10-31,0.025493141235255257,1.0531263340875723,92,92,0,0,2018,2019-03-31,gap_top_30pct
2019-11-30,0.026707815060642348,1.0812530374538754,92,92,0,0,2018,2019-03-31,gap_top_30pct
2019-12-31,0.02668150130347824,1.1101024917820908,92,92,0,0,2018,2019-03-31,gap_top_30pct
2020-01-31,-0.023037950457603373,1.084528005573553,92,92,0,0,2018,2019-03-31,gap_top_30pct
2020-02-29,-0.08700056767227582,0.9901734534321727,92,92,0,0,2018,2019-03-31,gap_top_30pct
2020-03-31,-0.19101899840745895,0.8010315121079044,92,92,0,0,2018,2019-03-31,gap_top_30pct
2020-04-30,0.15164126801671962,1.1516412680167196,16,16,0,0,2019,2020-03-31,gap_top_5pct
2020-05-31,0.06921604380616664,1.2313533204727543,16,16,0,0,2019,2020-03-31,gap_top_5pct
2020-06-30,-0.014066726395943752,1.2140322102169272,16,16,0,0,2019,2020-03-31,gap_top_5pct
2020-07-31,0.08465140288082385,1.3168017399542973,16,16,0,0,2019,2020-03-31,gap_top_5pct
2020-08-31,0.06757414794658767,1.405783495546293,16,16,0,0,2019,2020-03-31,gap_top_5pct
2020-09-30,-0.045674202453566126,1.3415754555648296,16,16,0,0,2019,2020-03-31,gap_top_5pct
2020-10-31,-0.007849918729465832,1.3310441972691995,16,16,0,0,2019,2020-03-31,gap_top_5pct
2020-11-30,0.12720862962173007,1.50036450556977,16,16,0,0,2019,2020-03-31,gap_top_5pct
2020-12-31,0.049917760230486996,1.5752593412171352,16,16,0,0,2019,2020-03-31,gap_top_5pct
2021-01-31,-0.01624436511712435,1.5496702533242432,16,16,0,0,2019,2020-03-31,gap_top_5pct
2021-02-28,0.0438446603896383,1.6176150192971694,16,16,0,0,2019,2020-03-31,gap_top_5pct
2021-03-31,0.03214798460339319,1.6696180820317523,16,16,0,0,2019,2020-03-31,gap_top_5pct
2020-04-30,0.148418012255648,1.148418012255648,32,32,0,0,2019,2020-03-31,gap_top_10pct
2020-05-31,0.05171593294838295,1.2078095211741764,32,32,0,0,2019,2020-03-31,gap_top_10pct
2020-06-30,0.009940113558701835,1.219815284971929,32,32,0,0,2019,2020-03-31,gap_top_10pct
2020-07-31,0.05420123055796622,1.2859307744708237,32,32,0,0,2019,2020-03-31,gap_top_10pct
2020-08-31,0.05355268458332718,1.3547958196320533,32,32,0,0,2019,2020-03-31,gap_top_10pct
2020-09-30,-0.042863727397255635,1.2967242209404035,32,32,0,0,2019,2020-03-31,gap_top_10pct
2020-10-31,0.0020058528519015795,1.2993252589171067,32,32,0,0,2019,2020-03-31,gap_top_10pct
2020-11-30,0.15999631713951912,1.5072125151101958,32,32,0,0,2019,2020-03-31,gap_top_10pct
2020-12-31,0.05098836670375695,1.5840628195311264,32,32,0,0,2019,2020-03-31,gap_top_10pct
2021-01-31,0.007034972981222243,1.5952066586670866,32,32,0,0,2019,2020-03-31,gap_top_10pct
2021-02-28,0.055565753137192475,1.6838455180653875,32,32,0,0,2019,2020-03-31,gap_top_10pct
2021-03-31,0.05463598574181239,1.7758440777818227,32,32,0,0,2019,2020-03-31,gap_top_10pct
2020-04-30,0.15568696086460698,1.155686960864607,64,64,0,0,2019,2020-03-31,gap_top_20pct
2020-05-31,0.049557459434925066,1.2129598705471265,64,64,0,0,2019,2020-03-31,gap_top_20pct
2020-06-30,0.017129776607570646,1.2337376021635467,64,64,0,0,2019,2020-03-31,gap_top_20pct
2020-07-31,0.035237725692711885,1.2772117093653699,64,64,0,0,2019,2020-03-31,gap_top_20pct
2020-08-31,0.07895369982315437,1.3780522992772213,64,64,0,0,2019,2020-03-31,gap_top_20pct
2020-09-30,-0.03702247474189524,1.3270333928342197,64,64,0,0,2019,2020-03-31,gap_top_20pct
2020-10-31,-0.004177757648746394,1.3214893689271647,64,64,0,0,2019,2020-03-31,gap_top_20pct
2020-11-30,0.19483921100071888,1.5789673149147714,64,64,0,0,2019,2020-03-31,gap_top_20pct
2020-12-31,0.049912056801457494,1.6577768212244424,64,64,0,0,2019,2020-03-31,gap_top_20pct
2021-01-31,0.015692129667417287,1.683790870062735,64,64,0,0,2019,2020-03-31,gap_top_20pct
2021-02-28,0.10517218903550929,1.8608788417452378,64,64,0,0,2019,2020-03-31,gap_top_20pct
2021-03-31,0.05530230624622323,1.96378973333855,64,64,0,0,2019,2020-03-31,gap_top_20pct
2020-04-30,0.14980426744472863,1.149804267444727,96,96,0,0,2019,2020-03-31,gap_top_30pct
2020-05-31,0.04772744782348082,1.204681490626411,96,96,0,0,2019,2020-03-31,gap_top_30pct
2020-06-30,0.01403169691917272,1.221585216187018,96,96,0,0,2019,2020-03-31,gap_top_30pct
2020-07-31,0.03889136243371749,1.2690943295734185,96,96,0,0,2019,2020-03-31,gap_top_30pct
2020-08-31,0.06538697853730979,1.3520765732630573,96,96,0,0,2019,2020-03-31,gap_top_30pct
2020-09-30,-0.037500413385172515,1.3013731428372852,96,96,0,0,2019,2020-03-31,gap_top_30pct
2020-10-31,-0.0041540819203421675,1.295967132193006,96,96,0,0,2019,2020-03-31,gap_top_30pct
2020-11-30,0.17874716489654974,1.5276175828716179,96,96,0,0,2019,2020-03-31,gap_top_30pct
2020-12-31,0.04288352529334638,1.5931272101252534,96,96,0,0,2019,2020-03-31,gap_top_30pct
2021-01-31,0.006513992414278524,1.60350482868699,96,96,0,0,2019,2020-03-31,gap_top_30pct
2021-02-28,0.09249385652290454,1.751819174245349,96,96,0,0,2019,2020-03-31,gap_top_30pct
2021-03-31,0.0606707749557589,1.858103401129172,96,96,0,0,2019,2020-03-31,gap_top_30pct
2021-04-30,0.06777118032397156,1.0677711803239716,16,16,0,0,2020,2021-03-31,gap_top_5pct
2021-05-31,0.0264493169226796,1.0960129986732638,16,16,0,0,2020,2021-03-31,gap_top_5pct
2021-06-30,0.02156688383140737,1.1196505836933626,16,16,0,0,2020,2021-03-31,gap_top_5pct
2021-07-31,0.0524672616137869,1.1783955837840314,16,16,0,0,2020,2021-03-31,gap_top_5pct
2021-08-31,0.013506039855556429,1.1943110415042302,16,16,0,0,2020,2021-03-31,gap_top_5pct
2021-09-30,-0.045270145840019094,1.1402444064769885,16,16,0,0,2020,2021-03-31,gap_top_5pct
2021-10-31,0.058958346515490145,1.2074713313064083,16,16,0,0,2020,2021-03-31,gap_top_5pct
2021-11-30,0.021211708999286483,1.2330838618110609,16,16,0,0,2020,2021-03-31,gap_top_5pct
2021-12-31,0.06558517475130432,1.3139558823709525,16,16,0,0,2020,2021-03-31,gap_top_5pct
2022-01-31,-0.09727878181059113,1.1861358547810459,16,16,0,0,2020,2021-03-31,gap_top_5pct
2022-02-28,-0.007479517639066624,1.1772641307328817,16,16,0,0,2020,2021-03-31,gap_top_5pct
2022-03-31,0.027232090112671692,1.2093234936274155,16,16,0,0,2020,2021-03-31,gap_top_5pct
2021-04-30,0.05678266964923173,1.056782669649231,33,33,0,0,2020,2021-03-31,gap_top_10pct
2021-05-31,0.02815367113378331,1.086534981390417,33,33,0,0,2020,2021-03-31,gap_top_10pct
2021-06-30,0.0008400517946796082,1.0874477270515162,33,33,0,0,2020,2021-03-31,gap_top_10pct
2021-07-31,0.025244446694929534,1.1148997432305905,33,33,0,0,2020,2021-03-31,gap_top_10pct
2021-08-31,0.014013467827956427,1.1305233549137492,33,33,0,0,2020,2021-03-31,gap_top_10pct
2021-09-30,-0.04266338224778321,1.0822914048830177,33,33,0,0,2020,2021-03-31,gap_top_10pct
2021-10-31,0.03810489408585216,1.1235320042361132,33,33,0,0,2020,2021-03-31,gap_top_10pct
2021-11-30,0.01459374451902229,1.13992854326488,33,33,0,0,2020,2021-03-31,gap_top_10pct
2021-12-31,0.0721237648726385,1.2221444814909255,33,33,0,0,2020,2021-03-31,gap_top_10pct
2022-01-31,-0.07497424630074101,1.1305151201205335,33,33,0,0,2020,2021-03-31,gap_top_10pct
2022-02-28,0.0033243373489884043,1.1342733337579463,33,33,0,0,2020,2021-03-31,gap_top_10pct
2022-03-31,0.024469899161256636,1.1620288878563056,33,33,0,0,2020,2021-03-31,gap_top_10pct
2021-04-30,0.04586311692886724,1.0458631169288664,66,66,0,0,2020,2021-03-31,gap_top_20pct
2021-05-31,0.02696071333298189,1.0740603326099245,66,66,0,0,2020,2021-03-31,gap_top_20pct
2021-06-30,-0.006670471491653451,1.0668958437809342,66,66,0,0,2020,2021-03-31,gap_top_20pct
2021-07-31,0.010263124524472644,1.0778455286803001,66,66,0,0,2020,2021-03-31,gap_top_20pct
2021-08-31,0.006185778305904277,1.0845128421687267,66,66,0,0,2020,2021-03-31,gap_top_20pct
2021-09-30,-0.02691697640765478,1.0553210355822724,66,66,0,0,2020,2021-03-31,gap_top_20pct
2021-10-31,0.04242273306242139,1.1000906381699374,66,66,0,0,2020,2021-03-31,gap_top_20pct
2021-11-30,0.00015612581872703757,1.1002623907214957,66,66,0,0,2020,2021-03-31,gap_top_20pct
2021-12-31,0.07350653046374456,1.1811388616631777,66,66,0,0,2020,2021-03-31,gap_top_20pct
2022-01-31,-0.06439142516640828,1.1050836470412566,66,66,0,0,2020,2021-03-31,gap_top_20pct
2022-02-28,-0.0017069108090724816,1.1031973678191926,66,66,0,0,2020,2021-03-31,gap_top_20pct
2022-03-31,0.02466849409068339,1.1304115855680978,66,66,0,0,2020,2021-03-31,gap_top_20pct
2021-04-30,0.04484194985068335,1.0448419498506814,99,99,0,0,2020,2021-03-31,gap_top_30pct
2021-05-31,0.025788823788694515,1.0717871947824165,99,99,0,0,2020,2021-03-31,gap_top_30pct
2021-06-30,-0.010793121115553639,1.0602192657790304,99,99,0,0,2020,2021-03-31,gap_top_30pct
2021-07-31,0.010768263312039617,1.0716359860014362,99,99,0,0,2020,2021-03-31,gap_top_30pct
2021-08-31,0.012589012108382258,1.0851268244049863,99,99,0,0,2020,2021-03-31,gap_top_30pct
2021-09-30,-0.03174657212818266,1.0506777674057877,99,99,0,0,2020,2021-03-31,gap_top_30pct
2021-10-31,0.0435784175822127,1.096464641898144,99,99,0,0,2020,2021-03-31,gap_top_30pct
2021-11-30,-0.004771632255019975,1.091232715846374,99,99,0,0,2020,2021-03-31,gap_top_30pct
2021-12-31,0.07123474399124197,1.168966398994558,99,99,0,0,2020,2021-03-31,gap_top_30pct
2022-01-31,-0.06706102567745875,1.0905743132954975,99,99,0,0,2020,2021-03-31,gap_top_30pct
2022-02-28,0.0009373608922598198,1.091596575006884,99,99,0,0,2020,2021-03-31,gap_top_30pct
2022-03-31,0.019728343272139348,1.1131319669533113,99,99,0,0,2020,2021-03-31,gap_top_30pct
2022-04-30,-0.09015741379248043,0.9098425862075196,17,17,0,0,2021,2022-03-31,gap_top_5pct
2022-05-31,-0.017819348931281787,0.8936297836913479,17,17,0,0,2021,2022-03-31,gap_top_5pct
2022-06-30,-0.08683470138442273,0.8160317082762835,17,17,0,0,2021,2022-03-31,gap_top_5pct
2022-07-31,0.0990469836459944,0.8968571875405374,17,17,0,0,2021,2022-03-31,gap_top_5pct
2022-08-31,-0.049890231686351094,0.8521127746645708,17,17,0,0,2021,2022-03-31,gap_top_5pct
2022-09-30,-0.09418375835866932,0.7718575910012276,17,17,0,0,2021,2022-03-31,gap_top_5pct
2022-10-31,0.07971003540734167,0.833382386909361,17,17,0,0,2021,2022-03-31,gap_top_5pct
2022-11-30,0.08244043202794371,0.9020867909306477,17,17,0,0,2021,2022-03-31,gap_top_5pct
2022-12-31,-0.05273033824281381,0.8545194493205002,17,17,0,0,2021,2022-03-31,gap_top_5pct
2023-01-31,0.10309573298752372,0.9426167583002922,17,17,0,0,2021,2022-03-31,gap_top_5pct
2023-02-28,-0.03661367950848082,0.9081040904125622,17,17,0,0,2021,2022-03-31,gap_top_5pct
2023-03-31,0.04085581614094025,0.9452054241672936,17,17,0,0,2021,2022-03-31,gap_top_5pct
2022-04-30,-0.0779372177245673,0.9220627822754329,35,35,0,0,2021,2022-03-31,gap_top_10pct
2022-05-31,0.0017568905559828263,0.9236827456696359,35,35,0,0,2021,2022-03-31,gap_top_10pct
2022-06-30,-0.11005448658526029,0.8220273153273006,35,35,0,0,2021,2022-03-31,gap_top_10pct
2022-07-31,0.0859111990246193,0.8926486676180577,35,35,0,0,2021,2022-03-31,gap_top_10pct
2022-08-31,-0.05740502538061254,0.8414061481974732,35,35,0,0,2021,2022-03-31,gap_top_10pct
2022-09-30,-0.106431416925583,0.751854099634919,35,35,0,0,2021,2022-03-31,gap_top_10pct
2022-10-31,0.1012808879111462,0.828002550425579,35,35,0,0,2021,2022-03-31,gap_top_10pct
2022-11-30,0.08142289227908361,0.8954209128956875,35,35,0,0,2021,2022-03-31,gap_top_10pct
2022-12-31,-0.051197735289175594,0.8495773900248621,35,35,0,0,2021,2022-03-31,gap_top_10pct
2023-01-31,0.10053259309299101,0.9349876080772369,35,35,0,0,2021,2022-03-31,gap_top_10pct
2023-02-28,-0.039519540493721306,0.8980373274387009,35,35,0,0,2021,2022-03-31,gap_top_10pct
