FiscalYear,RebalanceDate,Strategy,n_selected,n_priced,n_delisted_zero,n_price_missing,return,Experiment,Universe,Model,SectorScope,WindowYears
2022,2023-03-31,gap_top_5pct,18,18,0,0,0.2175741366573615,sp500_ranknet_all_w5,S&P500,ranknet,all,5
2023,2024-03-31,gap_top_5pct,18,18,0,0,0.0486385163850621,sp500_ranknet_all_w5,S&P500,ranknet,all,5
2024,2025-03-31,gap_top_5pct,18,18,0,0,0.1419345463058978,sp500_ranknet_all_w5,S&P500,ranknet,all,5
2018,2019-03-31,gap_top_10pct,30,30,0,0,-0.1414229567212424,sp500_ranknet_all_w5,S&P500,ranknet,all,5
2019,2020-03-31,gap_top_10pct,32,32,0,0,0.7758440777818227,sp500_ranknet_all_w5,S&P500,ranknet,all,5
2020,2021-03-31,gap_top_10pct,33,33,0,0,0.1620288878563057,sp500_ranknet_all_w5,S&P500,ranknet,all,5
2021,2022-03-31,gap_top_10pct,35,35,0,0,-0.0722228834168129,sp500_ranknet_all_w5,S&P500,ranknet,all,5
2022,2023-03-31,gap_top_10pct,37,37,0,0,0.3031770441252398,sp500_ranknet_all_w5,S&P500,ranknet,all,5
2023,2024-03-31,gap_top_10pct,37,37,0,0,0.0282851530396554,sp500_ranknet_all_w5,S&P500,ranknet,all,5
2024,2025-03-31,gap_top_10pct,37,37,0,0,0.191543613106588,sp500_ranknet_all_w5,S&P500,ranknet,all,5
2018,2019-03-31,gap_top_20pct,61,61,0,0,-0.187528149760129,sp500_ranknet_all_w5,S&P500,ranknet,all,5
2019,2020-03-31,gap_top_20pct,64,64,0,0,0.96378973333855,sp500_ranknet_all_w5,S&P500,ranknet,all,5
2020,2021-03-31,gap_top_20pct,66,66,0,0,0.1304115855680978,sp500_ranknet_all_w5,S&P500,ranknet,all,5
2021,2022-03-31,gap_top_20pct,71,71,0,0,-0.0464980876336491,sp500_ranknet_all_w5,S&P500,ranknet,all,5
2022,2023-03-31,gap_top_20pct,74,74,0,0,0.244855285820645,sp500_ranknet_all_w5,S&P500,ranknet,all,5
2023,2024-03-31,gap_top_20pct,75,75,0,0,0.0097788144954235,sp500_ranknet_all_w5,S&P500,ranknet,all,5
2024,2025-03-31,gap_top_20pct,74,74,0,0,0.2574536607878613,sp500_ranknet_all_w5,S&P500,ranknet,all,5
2018,2019-03-31,gap_top_30pct,92,92,0,0,-0.1989684878920956,sp500_ranknet_all_w5,S&P500,ranknet,all,5
2019,2020-03-31,gap_top_30pct,96,96,0,0,0.8581034011291715,sp500_ranknet_all_w5,S&P500,ranknet,all,5
2020,2021-03-31,gap_top_30pct,99,99,0,0,0.113131966953311,sp500_ranknet_all_w5,S&P500,ranknet,all,5
2021,2022-03-31,gap_top_30pct,106,106,0,0,-0.0458160409697959,sp500_ranknet_all_w5,S&P500,ranknet,all,5
2022,2023-03-31,gap_top_30pct,111,111,0,0,0.2259528822812145,sp500_ranknet_all_w5,S&P500,ranknet,all,5
2023,2024-03-31,gap_top_30pct,112,112,0,0,0.0091881369607917,sp500_ranknet_all_w5,S&P500,ranknet,all,5
2024,2025-03-31,gap_top_30pct,111,111,0,0,0.2537910640746788,sp500_ranknet_all_w5,S&P500,ranknet,all,5
2016,2017-03-31,gap_top_5pct,14,14,0,0,0.1753737630460475,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2017,2018-03-31,gap_top_5pct,14,14,0,0,0.2296954910650295,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2018,2019-03-31,gap_top_5pct,15,15,0,0,-0.069495034227833,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2019,2020-03-31,gap_top_5pct,16,16,0,0,0.6696180820317525,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2020,2021-03-31,gap_top_5pct,16,16,0,0,0.2093234936274154,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2021,2022-03-31,gap_top_5pct,17,17,0,0,-0.0547945758327063,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2022,2023-03-31,gap_top_5pct,18,18,0,0,0.1557470300635998,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2023,2024-03-31,gap_top_5pct,18,18,0,0,0.0486385163850621,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2024,2025-03-31,gap_top_5pct,18,18,0,0,0.1779362179037701,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2016,2017-03-31,gap_top_10pct,28,28,0,0,0.2163883484309459,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2017,2018-03-31,gap_top_10pct,29,29,0,0,0.1171130009041362,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2018,2019-03-31,gap_top_10pct,30,30,0,0,-0.1235430611235239,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2019,2020-03-31,gap_top_10pct,32,32,0,0,0.769388544880119,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2020,2021-03-31,gap_top_10pct,33,33,0,0,0.1620288878563057,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2021,2022-03-31,gap_top_10pct,35,35,0,0,-0.0647060984658412,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2022,2023-03-31,gap_top_10pct,37,37,0,0,0.3070744115911292,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2023,2024-03-31,gap_top_10pct,37,37,0,0,0.010956618647637,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2024,2025-03-31,gap_top_10pct,37,37,0,0,0.3756381997602752,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2016,2017-03-31,gap_top_20pct,56,56,0,0,0.1418845667823306,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2017,2018-03-31,gap_top_20pct,58,58,0,0,0.0605927238860655,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2018,2019-03-31,gap_top_20pct,61,61,0,0,-0.187528149760129,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2019,2020-03-31,gap_top_20pct,64,64,0,0,0.969684020560168,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2020,2021-03-31,gap_top_20pct,66,66,0,0,0.1332955758301825,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2021,2022-03-31,gap_top_20pct,71,71,0,0,-0.0415418910769935,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2022,2023-03-31,gap_top_20pct,74,74,0,0,0.2388682104734122,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2023,2024-03-31,gap_top_20pct,75,75,0,0,0.0187449816376484,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2024,2025-03-31,gap_top_20pct,74,74,0,0,0.2722317323410111,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2016,2017-03-31,gap_top_30pct,84,84,0,0,0.1401059245542036,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2017,2018-03-31,gap_top_30pct,88,88,1,0,0.0274396360007283,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2018,2019-03-31,gap_top_30pct,92,92,0,0,-0.2053020910054421,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2019,2020-03-31,gap_top_30pct,96,96,0,0,0.8605123327044408,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2020,2021-03-31,gap_top_30pct,99,99,0,0,0.1115932733050883,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2021,2022-03-31,gap_top_30pct,106,106,0,0,-0.0502224178830516,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2022,2023-03-31,gap_top_30pct,111,111,0,0,0.2116559505864046,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2023,2024-03-31,gap_top_30pct,112,112,0,0,9.348510785253672e-05,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2024,2025-03-31,gap_top_30pct,111,111,0,0,0.2590294791271946,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2018,2019-03-31,gap_top_5pct,2,2,0,0,0.1663053944569734,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2019,2020-03-31,gap_top_5pct,2,2,0,0,0.5646007494260912,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2020,2021-03-31,gap_top_5pct,2,2,0,0,0.581701164319336,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2021,2022-03-31,gap_top_5pct,3,3,0,0,-0.0153229704243531,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2022,2023-03-31,gap_top_5pct,3,3,0,0,0.5984889714961826,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2023,2024-03-31,gap_top_5pct,3,3,0,0,0.1878915295486888,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2024,2025-03-31,gap_top_5pct,3,3,0,0,0.8201070223526363,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2018,2019-03-31,gap_top_10pct,4,4,0,0,0.1111909874018956,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2019,2020-03-31,gap_top_10pct,5,5,0,0,0.7407222422557599,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2020,2021-03-31,gap_top_10pct,5,5,0,0,0.4310925140413947,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2021,2022-03-31,gap_top_10pct,6,6,0,0,-0.0545057752688478,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2022,2023-03-31,gap_top_10pct,6,6,0,0,0.7589559044636082,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2023,2024-03-31,gap_top_10pct,6,6,0,0,0.1470006969397718,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2024,2025-03-31,gap_top_10pct,7,7,0,0,1.492280668348761,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2018,2019-03-31,gap_top_20pct,9,9,0,0,0.0164282656364776,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2019,2020-03-31,gap_top_20pct,10,10,0,0,0.6567463196476607,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2020,2021-03-31,gap_top_20pct,11,11,0,0,0.2257605243022707,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2021,2022-03-31,gap_top_20pct,12,12,0,0,-0.0810476523137716,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2022,2023-03-31,gap_top_20pct,12,12,0,0,0.6547794845786399,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2023,2024-03-31,gap_top_20pct,13,13,0,0,0.0362773490881781,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2024,2025-03-31,gap_top_20pct,14,14,0,0,0.8448778064552745,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2018,2019-03-31,gap_top_30pct,14,14,0,0,0.0166682215741591,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2019,2020-03-31,gap_top_30pct,15,15,0,0,0.7463411751995057,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2020,2021-03-31,gap_top_30pct,16,16,0,0,0.1891453988216833,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2021,2022-03-31,gap_top_30pct,18,18,0,0,-0.0624145390537363,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2022,2023-03-31,gap_top_30pct,19,19,0,0,0.5224619154366006,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2023,2024-03-31,gap_top_30pct,20,20,0,0,0.0033360122884421,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2024,2025-03-31,gap_top_30pct,21,21,0,0,0.6285453281338363,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2016,2017-03-31,gap_top_5pct,2,2,0,0,0.4718868649349996,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2017,2018-03-31,gap_top_5pct,2,2,0,0,0.1533561057391756,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2018,2019-03-31,gap_top_5pct,2,2,0,0,0.1663053944569734,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2019,2020-03-31,gap_top_5pct,2,2,0,0,0.5646007494260912,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2020,2021-03-31,gap_top_5pct,2,2,0,0,0.581701164319336,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2021,2022-03-31,gap_top_5pct,3,3,0,0,-0.0153229704243531,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2022,2023-03-31,gap_top_5pct,3,3,0,0,0.5984889714961826,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2023,2024-03-31,gap_top_5pct,3,3,0,0,0.1878915295486888,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2024,2025-03-31,gap_top_5pct,3,3,0,0,0.9030367816926012,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2016,2017-03-31,gap_top_10pct,4,4,0,0,0.6013826153271828,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2017,2018-03-31,gap_top_10pct,4,4,0,0,0.0799944134736769,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2018,2019-03-31,gap_top_10pct,4,4,0,0,0.1111909874018956,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2019,2020-03-31,gap_top_10pct,5,5,0,0,0.7689824597884428,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2020,2021-03-31,gap_top_10pct,5,5,0,0,0.4532227226695063,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2021,2022-03-31,gap_top_10pct,6,6,0,0,-0.0545057752688478,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2022,2023-03-31,gap_top_10pct,6,6,0,0,0.7589559044636082,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2023,2024-03-31,gap_top_10pct,6,6,0,0,0.0801695923824694,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2024,2025-03-31,gap_top_10pct,7,7,0,0,1.492280668348761,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2016,2017-03-31,gap_top_20pct,8,8,0,0,0.3687485023382723,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2017,2018-03-31,gap_top_20pct,9,9,0,0,0.0423677082664411,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2018,2019-03-31,gap_top_20pct,9,9,0,0,0.0803773097235707,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2019,2020-03-31,gap_top_20pct,10,10,0,0,0.7033971237851316,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2020,2021-03-31,gap_top_20pct,11,11,0,0,0.192967802914749,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2021,2022-03-31,gap_top_20pct,12,12,0,0,-0.0405827462121965,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2022,2023-03-31,gap_top_20pct,12,12,0,0,0.6547794845786399,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2023,2024-03-31,gap_top_20pct,13,13,0,0,0.0610973949808285,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2024,2025-03-31,gap_top_20pct,14,14,0,0,0.8756829443475288,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2016,2017-03-31,gap_top_30pct,12,12,0,0,0.3152761670394584,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2017,2018-03-31,gap_top_30pct,13,13,0,0,0.0595662135249002,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2018,2019-03-31,gap_top_30pct,14,14,0,0,0.0398724262711793,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2019,2020-03-31,gap_top_30pct,15,15,0,0,0.7463411751995057,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2020,2021-03-31,gap_top_30pct,16,16,0,0,0.1841127060270741,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2021,2022-03-31,gap_top_30pct,18,18,0,0,-0.0371540717589858,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2022,2023-03-31,gap_top_30pct,19,19,0,0,0.5224619154366005,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2023,2024-03-31,gap_top_30pct,20,20,0,0,0.0033360122884421,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2024,2025-03-31,gap_top_30pct,21,21,0,0,0.7207347328560607,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
